Date,Open,High,Low,Close,Adj Close,Volume
2020-02-20,20.000000,20.500000,19.299999,20.500000,20.500000,658100
2020-02-21,20.500000,20.500000,19.500000,20.000000,20.000000,152710
2020-02-24,19.900000,19.900000,17.510000,18.200001,18.200001,252710
2020-02-25,17.702000,17.702000,17.000000,17.298000,17.298000,62110
2020-02-26,16.902000,16.902000,15.602000,16.298000,16.298000,161040
2020-02-27,14.900000,15.100000,13.000000,13.300000,13.300000,241690
2020-02-28,12.000000,15.000000,10.200000,13.500000,13.500000,276400
2020-03-02,14.800000,14.998000,13.900000,14.200000,14.200000,246110
2020-03-03,14.402000,16.700001,14.402000,16.700001,16.700001,325930
2020-03-04,16.500000,16.500000,15.002000,16.100000,16.100000,47100
2020-03-05,16.200001,16.799999,15.000000,15.000000,15.000000,71230
2020-03-06,14.000000,15.000000,13.850000,14.200000,14.200000,114110
2020-03-09,13.000000,13.400000,11.500000,12.900000,12.900000,43170
2020-03-10,12.500000,13.498000,12.000000,12.000000,12.000000,234580
2020-03-11,11.800000,12.498000,10.900000,12.498000,12.498000,182120
2020-03-12,11.000000,11.600000,10.000000,10.500000,10.500000,193730
2020-03-13,10.900000,11.900000,10.000000,10.900000,10.900000,209050
2020-03-16,10.000000,10.000000,8.300000,9.500000,9.500000,222880
2020-03-17,9.500000,10.490000,9.000000,9.100000,9.100000,60340
2020-03-18,9.200000,9.400000,8.800000,8.700000,8.700000,51340
2020-03-19,8.500000,10.000000,8.500000,10.000000,10.000000,17560
2020-03-20,11.000000,11.150000,10.398000,10.500000,10.500000,105260
2020-03-23,10.600000,11.000000,10.200000,11.000000,11.000000,76180
2020-03-24,10.800000,11.800000,10.700000,10.900000,10.900000,166210
2020-03-25,11.600000,11.600000,10.600000,11.000000,11.000000,21090
2020-03-26,10.898000,10.898000,10.210000,10.498000,10.498000,60620
2020-03-27,10.398000,10.900000,10.200000,10.900000,10.900000,43050
2020-03-30,11.100000,11.600000,10.200000,11.300000,11.300000,244640
2020-03-31,11.600000,13.200000,11.600000,12.550000,12.550000,30620
2020-04-01,12.560000,12.560000,12.500000,12.500000,12.500000,5650
2020-04-02,12.500000,12.510000,11.702000,12.400000,12.400000,10100
2020-04-03,11.040000,12.498000,11.040000,12.000000,12.000000,40880
2020-04-06,12.900000,13.000000,12.500000,12.500000,12.500000,27070
2020-04-07,12.500000,13.500000,12.102000,13.200000,13.200000,53030
2020-04-08,13.200000,13.500000,13.000000,13.000000,13.000000,97700
2020-04-14,13.000000,13.900000,13.000000,13.800000,13.800000,99470
2020-04-15,14.000000,14.198000,12.600000,12.600000,12.600000,52210
2020-04-16,13.594000,13.594000,12.400000,12.610000,12.610000,46110
2020-04-17,13.594000,13.594000,12.900000,12.990000,12.990000,73300
2020-04-20,13.500000,14.000000,13.200000,13.500000,13.500000,129120
2020-04-21,13.700000,14.498000,13.600000,13.700000,13.700000,63030
2020-04-22,13.800000,14.250000,13.800000,13.800000,13.800000,149660
2020-04-23,14.200000,14.500000,13.552000,13.968000,13.968000,176650
2020-04-24,13.968000,14.000000,13.600000,14.000000,14.000000,32380
2020-04-27,14.500000,14.800000,14.000000,14.200000,14.200000,104150
2020-04-28,14.400000,14.400000,14.200000,14.200000,14.200000,103260
2020-04-29,14.298000,14.300000,14.000000,14.200000,14.200000,129970
2020-04-30,14.190000,14.200000,13.700000,14.000000,14.000000,64620
2020-05-04,13.900000,13.900000,13.002000,13.498000,13.498000,36650
2020-05-05,13.500000,13.900000,13.110000,13.900000,13.900000,12730
2020-05-06,13.950000,14.498000,13.500000,14.050000,14.050000,38890
2020-05-07,14.510000,14.510000,14.102000,14.250000,14.250000,69180
2020-05-08,14.454000,15.000000,14.280000,15.000000,15.000000,76100
2020-05-11,15.600000,17.500000,15.600000,17.200001,17.200001,228510
2020-05-12,18.200001,21.000000,18.200001,19.150000,19.150000,391700
2020-05-13,20.000000,20.600000,19.200001,20.299999,20.299999,509160
2020-05-14,20.500000,20.500000,19.000000,19.216000,19.216000,76130
2020-05-15,19.216000,19.888000,18.000000,18.549999,18.549999,87480
2020-05-18,19.000000,19.600000,18.700001,19.500000,19.500000,119580
2020-05-19,19.500000,19.500000,18.799999,19.000000,19.000000,45110
2020-05-20,19.000000,19.600000,19.000000,19.600000,19.600000,106350
2020-05-22,19.600000,20.700001,19.600000,20.000000,20.000000,280300
2020-05-25,20.000000,20.400000,19.500000,20.389999,20.389999,99280
2020-05-26,20.389999,20.799999,20.320000,20.320000,20.320000,156300
2020-05-27,21.000000,21.000000,20.000000,20.000000,20.000000,177000
2020-05-28,20.000000,20.700001,19.299999,19.900000,19.900000,230130
2020-05-29,19.900000,20.100000,19.500000,20.000000,20.000000,62600
2020-06-02,20.200001,21.000000,20.200001,20.700001,20.700001,97770
2020-06-03,21.000000,21.000000,20.400000,20.500000,20.500000,55190
